id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
640738520061925386,Centrally located three bedroom two bathroom home,25723489,Aaron,,Riley Park,49.24442,-123.09038,Entire home/apt,310,3,20,2024-02-19,1.04,1,356,11,24-158960
641316977281490648,Cozy Studio in the heart of Mt Pleasant,124225622,Bartlomiej,,Mount Pleasant,49.26069,-123.09888,Entire home/apt,102,90,3,2023-07-31,0.20,1,275,2,22-245138
641392179594828515,Modern Studio (Jr. 1 Bedroom) in Chinatown,70653986,James,,Downtown Eastside,49.2796505,-123.1001372,Entire home/apt,,3,13,2023-05-28,0.61,1,0,1,22-238612
641982635205184775,Modern Custom Built 2-Storey 2BR Guest House,60571882,Perry,,Killarney,49.22255,-123.03928,Entire home/apt,,2,75,2023-10-01,3.56,1,0,34,23-158335
642006705469754937,Charming house/beautiful backyard/mtn view/parking,7399447,Kara,,Kensington-Cedar Cottage,49.2407,-123.07155,Entire home/apt,,4,5,2023-09-04,0.25,1,0,3,23-158328
642020784192497505,Olympic Village Entire 1-Br + Free Parking + AC,20697824,Kate,,Mount Pleasant,49.26946,-123.10095,Entire home/apt,278,3,29,2023-10-06,1.30,1,46,13,24-158728
642062954403185715,Lovely & Cozy guest suite Great Location!,462571795,Gnanapaskaran,,Sunset,49.22658,-123.08834,Entire home/apt,111,1,98,2024-04-14,4.24,1,167,56,24-159998
642093491066075534,Luxury Condo in Vancouver's Shangri-La + Parking,462579224,Areez,,West End,49.2855514,-123.1238497,Entire home/apt,450,30,0,,,1,179,0,
642264341571696956,Quiet Garden Suite close to lively Main Street,402427553,Connie,,Riley Park,49.24516,-123.09705,Entire home/apt,193,1,94,2024-04-23,4.08,1,351,42,24-158696
642270777321779733,Luxury Condo in the Heart of Vancouver with patio,39942659,Aarun,,Downtown,49.28004,-123.10649,Entire home/apt,286,2,68,2024-04-28,2.96,1,101,37,22-232194
642969025079878119,2BR Laneway House/Up to 6 guests/ Great location,462137412,Manish,,Sunset,49.21678,-123.0984,Entire home/apt,,1,66,2024-03-25,3.15,1,110,28,22-274655
643049747557576463,Private 2 bedrooms suite in a flourish yard,462795097,Ramon-William,,Dunbar Southlands,49.2372901,-123.1911822,Entire home/apt,177,1,122,2024-04-17,6.11,1,111,85,24-158727
643428720356607196,Large & bright 2-bed 2-bath condo w/ parking & AC,452622932,Kimmia,,Downtown,49.27927,-123.10884,Entire home/apt,336,2,60,2023-11-25,2.63,1,90,23,23-158122
643629595006449595,"Great Location, Walkable, Close to Transit",13147835,Sandy,,Mount Pleasant,49.2703259,-123.1012376,Entire home/apt,210,6,85,2024-04-27,4.03,1,209,48,24-158775
644125610949156087,The Charming Yellow Lovenest - with Hot Tub,12813839,Elizabeth,,Kerrisdale,49.2340869,-123.1748362,Entire home/apt,207,1,95,2024-01-07,4.34,1,112,42,24-159176
644390721714287946,Fully furnished cosy 1 bedroom,56128112,Jake,,Mount Pleasant,49.2664,-123.09501,Entire home/apt,,30,0,,,1,0,0,
644498839223761591,Cozy private suite in East Vancouver,97289882,Dana And La,,Kensington-Cedar Cottage,49.25204,-123.07269,Entire home/apt,83,3,59,2024-04-26,2.63,1,31,38,24-158649
644537187492046591,Brand new cozy 2 Bedroom basement suite,461323452,Jen,,Marpole,49.2130759,-123.1188481,Entire home/apt,121,1,150,2024-04-28,6.52,1,298,76,24-158701
644842174214405413,"Heart of historic Mt Pleasant, top floor bedroom",463232905,Jamie,,Mount Pleasant,49.26135,-123.10423,Private room,62,30,0,,,1,333,0,
644987082651664397,One bedroom unit with patio downtown1,125408114,Brooke,,Downtown,49.27665,-123.10904,Entire home/apt,175,30,0,,,6,364,0,
646480052557828957,Luxury Point Grey Estate with Pool & Tennis court,34906299,Teresa,,West Point Grey,49.27312,-123.21773,Entire home/apt,20000,30,0,,,5,364,0,
646493357727548428,Spacious 2 bdrm apartment in the heart of downtown,5229168,Tuccy,,Downtown,49.27724,-123.12594,Entire home/apt,,1,42,2024-03-07,2.04,1,0,26,24-158832
646553615976355959,King bed-Kitsilano beach-Parking-Desk- Pots/Spices,111429429,Rebekah,,Kitsilano,49.27152,-123.15559,Entire home/apt,,30,44,2024-04-01,1.97,1,28,20,22-243521
646600046097231118,Gorgeous Water Views 1 Bedroom +den Yaletown Condo,5347052,Lydia,,Downtown,49.27293,-123.1263,Entire home/apt,202,30,6,2024-04-16,0.28,1,177,2,
646678872055754037,Modern Condo w Patio | Parking | AC | Laundry,50332901,Cam,,Hastings-Sunrise,49.27185,-123.05508,Entire home/apt,141,30,25,2024-04-24,1.18,1,104,6,22-241891
647160230901267431,Bright One Bedroom Home near Park & Transit⭐️,463753569,Mimi,,Renfrew-Collingwood,49.25407,-123.05079,Entire home/apt,110,3,58,2024-04-27,2.69,1,58,35,24-158822
647416326590883231,1 bedroom laneway house in Vancouver,407125152,Mandeep,,Sunset,49.2153634,-123.1060518,Entire home/apt,150,2,9,2024-04-21,0.40,1,128,2,22-242003
647864077087781088,The MUSE - Lovely Loft in Gastown,4492755,Ares,,Downtown Eastside,49.281794426942604,-123.10528516146333,Entire home/apt,176,2,13,2024-03-28,1.94,2,69,13,24-158193
647903884003868958,Beautiful ground level suite in character home,8522435,Stephanie,,Mount Pleasant,49.26034,-123.11101,Entire home/apt,254,1,155,2024-04-27,6.81,1,62,87,24-158753
648569725703199283,260 Lovely 1 Bedroom Oasis in the quiet Westend,600607,Martello,,West End,49.2863385,-123.133479,Entire home/apt,,90,0,,,32,0,0,
648571715106497356,Vancouver West Two Bedroom ¹³,349804247,Εlvis,,Dunbar Southlands,49.238802538676694,-123.18772383034229,Entire home/apt,173,1,86,2024-04-13,3.77,36,193,44,24-158737
648655367951170235,Basement private room in West Side of Vancouver,388321759,Angie,,Oakridge,49.227177315107376,-123.13031708675537,Private room,89,1,95,2024-04-22,4.25,5,185,76,23-158280
648697303734071693,Beautiful townhouse by the water - 30 days minimum,179186203,Matt & Nat,,Downtown Eastside,49.27664,-123.10189,Entire home/apt,220,30,0,,,1,169,0,
648733601162478131,温馨小屋,304779606,Janice,,Victoria-Fraserview,49.2096,-123.06847,Entire home/apt,,1,30,2023-04-20,1.31,6,0,0,23-158659
648757209408329470,Million Dollar Luxury Waterfront 2 Bedroom Apt,464138253,Amci,,Downtown,49.27816,-123.10682,Entire home/apt,250,1,57,2023-11-12,2.56,1,132,41,24-158626
